acct_id,dsply_nm,type
1,Alex Lee,OTHER
2,Ian Hunt,OTHER
3,Leon Lee,OTHER
4,Luis Fry,OTHER
5,Pam Bell,OTHER
6,Amy Terry,OTHER
7,Gary Long,OTHER
8,Sara Lane,OTHER
9,Sean Mata,OTHER
10,Sue Horne,OTHER
11,Bryan Hall,OTHER
12,Chad Brady,OTHER
13,Chad Clark,OTHER
14,Cory Scott,OTHER
15,Dylan Carr,OTHER
16,Emily Diaz,OTHER
17,Eric Jones,OTHER
18,Eric Rojas,OTHER
19,Jared Ward,OTHER
20,Jason Pena,OTHER
21,Jeff Evans,OTHER
22,John Allen,OTHER
23,John Smith,OTHER
24,Julia Reed,OTHER
25,Kelly Bell,OTHER
26,Lisa Myers,OTHER
27,Mark Rocha,OTHER
28,Mark White,OTHER
29,Mary Smith,OTHER
30,Paul Baird,OTHER
31,Paul Weber,OTHER
32,Ryan Moore,OTHER
33,Sean Brown,OTHER
34,Tammy Love,OTHER
35,Tara Doyle,OTHER
36,Tony House,OTHER
37,Alan Medina,OTHER
38,Alison Carr,OTHER
39,Andrew Todd,OTHER
40,Brian Olson,OTHER
41,Bryan Davis,OTHER
42,Carla Moyer,OTHER
43,Carrie Paul,OTHER
44,Curtis Soto,OTHER
45,David Smith,OTHER
46,Derek Moore,OTHER
47,Ebony Simon,OTHER
48,Eric Baxter,OTHER
49,Eric Murphy,OTHER
50,Gavin Silva,OTHER
51,Hector Cain,OTHER
52,James Perry,OTHER
53,Jamie Russo,OTHER
54,Jeremy Ward,OTHER
55,John Nelson,OTHER
56,John Watson,OTHER
57,Johnny Lowe,OTHER
58,Karen Perry,OTHER
59,Keith Gomez,OTHER
60,Kelly Evans,OTHER
61,Laura Baker,OTHER
62,Laura Brown,OTHER
63,Lisa Morgan,OTHER
64,Luke Kelley,OTHER
65,Marcus Boyd,OTHER
66,Marie Owens,OTHER
67,Megan Avery,OTHER
68,Natasha Lee,OTHER
69,Rebecca Lee,OTHER
70,Robert Boyd,OTHER
71,Ryan Krause,OTHER
72,Sarah Brown,OTHER
73,Sarah Short,OTHER
74,Sean Hodges,OTHER
75,Sean Murray,OTHER
76,Susan Allen,OTHER
77,Tammy Brown,OTHER
78,Tina Ibarra,OTHER
79,Tonya Young,OTHER
80,Aaron Martin,OTHER
81,Alex Mcbride,OTHER
82,Amber Guzman,OTHER
