tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,325,30,TRANSFER,545.88,2025-05-01T00:00:00Z,FALSE,-1
2,224,305,TRANSFER,732.75,2025-05-01T00:00:00Z,FALSE,-1
3,70,283,TRANSFER,799.7,2025-05-01T00:00:00Z,FALSE,-1
4,293,263,TRANSFER,370.13,2025-05-01T00:00:00Z,FALSE,-1
5,221,69,TRANSFER,659.66,2025-05-01T00:00:00Z,FALSE,-1
6,156,160,TRANSFER,734.74,2025-05-01T00:00:00Z,FALSE,-1
7,338,242,TRANSFER,316.18,2025-05-01T00:00:00Z,FALSE,-1
8,300,99,TRANSFER,724.95,2025-05-01T00:00:00Z,FALSE,-1
9,278,288,TRANSFER,163.16,2025-05-02T00:00:00Z,FALSE,-1
10,118,276,TRANSFER,387.11,2025-05-02T00:00:00Z,FALSE,-1
11,234,160,TRANSFER,320.45,2025-05-02T00:00:00Z,FALSE,-1
12,257,160,TRANSFER,913.79,2025-05-02T00:00:00Z,FALSE,-1
13,158,22,TRANSFER,199.86,2025-05-02T00:00:00Z,FALSE,-1
14,1,160,TRANSFER,902.47,2025-05-02T00:00:00Z,FALSE,-1
15,268,28,TRANSFER,542.57,2025-05-02T00:00:00Z,FALSE,-1
16,261,160,TRANSFER,612.62,2025-05-03T00:00:00Z,FALSE,-1
17,8,29,TRANSFER,505.62,2025-05-03T00:00:00Z,FALSE,-1
18,51,160,TRANSFER,499.57,2025-05-03T00:00:00Z,FALSE,-1
19,307,15,TRANSFER,880.04,2025-05-03T00:00:00Z,FALSE,-1
20,128,92,TRANSFER,109.16,2025-05-04T00:00:00Z,FALSE,-1
21,119,11,TRANSFER,199.57,2025-05-04T00:00:00Z,TRUE,48
22,17,312,TRANSFER,527.36,2025-05-04T00:00:00Z,FALSE,-1
23,160,298,TRANSFER,249.89,2025-05-04T00:00:00Z,FALSE,-1
24,207,160,TRANSFER,757.78,2025-05-05T00:00:00Z,FALSE,-1
25,194,101,TRANSFER,674.83,2025-05-05T00:00:00Z,FALSE,-1
26,236,160,TRANSFER,626.85,2025-05-05T00:00:00Z,FALSE,-1
27,1,160,TRANSFER,830.62,2025-05-05T00:00:00Z,FALSE,-1
28,24,160,TRANSFER,160.34,2025-05-05T00:00:00Z,FALSE,-1
29,346,160,TRANSFER,965.86,2025-05-06T00:00:00Z,FALSE,-1
30,160,74,TRANSFER,223.58,2025-05-06T00:00:00Z,TRUE,64
31,160,298,TRANSFER,887.84,2025-05-06T00:00:00Z,FALSE,-1
32,301,160,TRANSFER,242.51,2025-05-06T00:00:00Z,FALSE,-1
33,138,160,TRANSFER,821.88,2025-05-06T00:00:00Z,FALSE,-1
34,175,118,TRANSFER,108.68,2025-05-06T00:00:00Z,FALSE,-1
35,315,90,TRANSFER,153.04,2025-05-06T00:00:00Z,FALSE,-1
36,110,160,TRANSFER,740.31,2025-05-07T00:00:00Z,FALSE,-1
37,151,80,TRANSFER,746.07,2025-05-07T00:00:00Z,FALSE,-1
38,238,336,TRANSFER,244.71,2025-05-07T00:00:00Z,FALSE,-1
39,317,160,TRANSFER,210.51,2025-05-07T00:00:00Z,FALSE,-1
40,102,160,TRANSFER,343.4,2025-05-07T00:00:00Z,FALSE,-1
41,102,160,TRANSFER,158.48,2025-05-07T00:00:00Z,FALSE,-1
42,156,160,TRANSFER,632.36,2025-05-08T00:00:00Z,FALSE,-1
43,16,49,TRANSFER,697.16,2025-05-08T00:00:00Z,FALSE,-1
44,300,256,TRANSFER,156.46,2025-05-08T00:00:00Z,FALSE,-1
45,97,160,TRANSFER,230.77,2025-05-08T00:00:00Z,FALSE,-1
46,198,135,TRANSFER,939.33,2025-05-09T00:00:00Z,FALSE,-1
47,234,160,TRANSFER,403.35,2025-05-09T00:00:00Z,FALSE,-1
48,118,208,TRANSFER,930.78,2025-05-09T00:00:00Z,FALSE,-1
49,217,79,TRANSFER,405.34,2025-05-09T00:00:00Z,FALSE,-1
50,126,176,TRANSFER,923.47,2025-05-09T00:00:00Z,FALSE,-1
51,63,316,TRANSFER,285.53,2025-05-09T00:00:00Z,FALSE,-1
52,35,29,TRANSFER,632.2,2025-05-09T00:00:00Z,FALSE,-1
53,337,342,TRANSFER,701.2,2025-05-09T00:00:00Z,FALSE,-1
54,261,160,TRANSFER,986.64,2025-05-10T00:00:00Z,FALSE,-1
55,185,90,TRANSFER,779.84,2025-05-10T00:00:00Z,FALSE,-1
56,307,342,TRANSFER,403.1,2025-05-10T00:00:00Z,FALSE,-1
57,239,329,TRANSFER,439.13,2025-05-10T00:00:00Z,FALSE,-1
